=== COMMON SINEs ver.1SeqID	SINE_ID_1	Start_1	Stop_1	Orientation_1	Length_1	SINE_ID_2	Start_2	Stop_2	Orientation_2	Length_2
DS571284.1	302	36574	37121	+	548	8	36571	37118	+	548
DS571314.1	284	27504	28027	+	524	95	27501	28023	+	523
DS571182.1	408	91505	92024	+	520	84	91492	92022	+	531
DS571668.1	105	1002	1559	+	558	117	993	1556	+	564
DS571480.1	195	4103	4657	+	555	145	4094	4656	+	563
DS571375.1	235	11564	11668	+	105	156	11554	12140	+	587
DS572063.1	33	1201	1368	+	168	124	1192	1779	+	588
DS572063.1	34	1432	1781	+	350	124	1192	1779	+	588
DS571454.1	207	15513	16036	+	524	71	15507	16034	+	528
DS571426.1	216	1549	2047	+	499	48	1546	2044	+	499
DS571478.1	199	11047	11573	+	527	69	11037	11569	+	533
DS571670.1	102	3674	3759	+	86	183	3127	3758	+	632
DS572032.1	35	385	547	+	163	113	376	957	+	582
DS572032.1	36	616	960	+	345	113	376	957	+	582
DS571442.1	212	14675	15233	+	559	111	14666	15230	+	565
DS571479.1	198	5628	6153	+	526	58	5619	6150	+	532
DS571647.1	118	3698	4225	+	528	67	3695	4221	+	527
DS571287.1	301	30406	30925	+	520	24	30403	30922	+	520
DS571487.1	189	12339	12886	+	548	17	12336	12883	+	548
DS571643.1	120	737	1285	+	549	28	734	1284	+	551
DS572119.1	29	240	402	+	163	130	227	817	+	591
DS572119.1	30	480	818	+	339	130	227	817	+	591
DS571420.1	220	3610	3950	+	341	154	3377	3949	+	573
DS571525.1	161	645	826	+	182	195	311	823	+	513
DS571186.1	402	24991	25539	+	549	14	24988	25538	+	551
DS571464.1	203	14348	14843	+	496	105	14286	14840	+	555
DS571601.1	137	6354	6875	+	522	70	6351	6873	+	523
DS571662.1	110	2852	2956	+	105	151	2842	3341	+	500
DS571334.1	262	2060	2609	+	550	98	2057	2606	+	550
DS571661.1	111	2654	2736	-	83	388	3247	2657	-	591
DS571512.1	168	8398	8929	+	532	88	8394	8925	+	532
DS571434.1	213	13629	14135	+	507	92	13621	14141	+	521
DS571202.1	382	47441	47779	+	339	129	47192	47777	+	586
DS571257.1	325	385	547	+	163	114	376	957	+	582
DS571257.1	326	616	960	+	345	114	376	957	+	582
DS571257.1	328	24191	24792	+	602	22	24188	24789	+	602
DS571257.1	329	45864	46411	+	548	10	45861	46408	+	548
