=== COMMON SINEs ===
SeqID	Orientation1	Start1	Stop1	SINEID1	Orientation2	Start2	Stop2	SINEID2	%Overlap
DS571520	+	2713	3229	164	+	2710	3227	87	99.04%
DS571233	+	53661	54209	351	+	53658	54208	26	99.28%
DS571656	+	2435	2901	114	+	2432	2934	112	92.84%
DS571656	+	2881	2937	115	+	2432	2934	112	10.67%
DS571617	+	4162	4660	132	+	4159	4657	40	98.80%
DS571288	+	2330	2771	298	+	2327	2823	110	88.93%
DS571288	+	2750	2826	299	+	2327	2823	110	14.80%
DS571755	+	2078	2241	76	+	2067	2649	123	28.13%
DS571755	+	2264	2652	77	+	2067	2649	123	65.87%
DS571258	+	3599	3938	323	+	3366	3935	155	58.81%
DS571258	+	46900	47420	324	+	46897	47418	73	99.05%
DS571674	+	4430	4948	101	+	4426	4947	81	99.04%
DS571150	+	28705	28880	474	+	28700	29285	109	30.03%
DS571150	+	28957	29286	475	+	28700	29285	109	56.05%
DS571167	+	34097	34642	430	+	34094	34639	13	98.91%
DS571167	+	116392	116899	431	+	116380	116898	66	97.50%
DS571196	+	10082	10599	390	+	10075	10595	78	97.90%
DS571196	+	21848	22308	391	+	21804	22304	122	90.50%
DS571196	+	45725	46247	392	+	45722	46243	63	98.67%
DS571764	+	296	778	74	+	242	775	135	89.39%
DS571146	+	102831	103378	480	+	102828	103375	7	98.91%
DS571420	+	3610	3950	220	+	3377	3949	154	59.23%
DS571247	+	50358	50797	339	+	50355	50805	52	97.56%
DS571148	+	58194	58741	477	+	58191	58738	20	98.91%
DS571663	+	4830	4996	108	+	4821	5413	131	28.16%
DS571663	+	5074	5414	109	+	4821	5413	131	57.24%
DS571234	+	34930	35204	350	+	34641	35201	149	48.23%
DS571768	+	1162	1707	73	+	1157	1705	148	98.73%
DS571426	+	1549	2047	216	+	1546	2044	48	98.80%
DS571214	+	5940	6332	363	+	5760	6329	150	68.06%
DS571493	+	12850	13369	183	+	12847	13366	91	98.85%
DS571449	+	10293	10805	209	+	10283	10802	36	97.51%
DS571713	+	3167	3333	85	+	3158	3754	134	27.97%
DS571713	+	3411	3755	86	+	3158	3754	134	57.53%
DS571274	+	10461	10976	312	+	10458	10976	39	99.42%
DS571210	+	20550	21124	369	+	20547	21121	25	98.96%
DS571712	+	1014	1539	87	+	1008	1535	60	98.12%
DS571564	+	1744	2257	151	+	1738	2256	43	98.65%
DS571228	+	4747	5291	352	+	4744	5290	27	99.27%
DS571145	+	96826	97371	482	+	96823	97370	3	99.27%
DS571145	+	215310	215476	484	+	215307	215887	126	28.74%
DS571145	+	215554	215887	485	+	215307	215887	126	57.49%
DS572210	+	758	1282	19	+	755	1279	74	98.86%
DS571619	+	6085	6250	130	+	6076	6666	141	28.09%
DS571619	+	6328	6667	131	+	6076	6666	141	57.26%
DS571172	+	92389	92903	424	+	92383	92905	64	98.47%
DS571968	+	1454	1845	38	+	1281	1842	159	68.85%
DS571287	+	30406	30925	301	+	30403	30922	24	98.85%
DS571266	+	27735	28285	316	+	27732	28282	12	98.92%
DS571237	+	34664	35211	346	+	34661	35208	29	98.91%
DS571887	+	880	989	48	+	870	1478	187	18.06%
DS571887	+	1399	1479	49	+	870	1478	187	13.11%
DS571334	+	2060	2609	262	+	2057	2606	98	98.92%
DS571732	+	2217	2746	82	+	2214	2742	68	98.69%
DS571811	+	1855	2365	62	+	1835	2362	142	95.67%
DS571282	+	3743	4246	303	+	3723	4243	144	95.61%
DS571265	+	5332	5897	317	+	5326	5894	146	98.43%
DS571509	+	8362	8870	172	+	8352	8867	97	97.50%
DS571454	+	15513	16036	207	+	15507	16034	71	98.49%
DS571317	+	27556	28102	279	+	27553	28099	18	98.91%
DS571690	+	463	961	95	+	460	958	49	98.80%
DS571469	+	4707	4811	201	+	4697	5352	153	16.01%
DS571499	+	8764	9285	176	+	8761	9283	72	99.05%
DS571268	+	10900	11415	315	+	10897	11416	45	99.23%
DS571325	+	9537	9700	271	+	9526	10104	120	28.32%
DS571325	+	9723	10107	272	+	9526	10104	120	65.64%
DS571893	+	173	693	47	+	163	689	82	97.36%
DS571192	+	24327	24874	395	+	24324	24871	23	98.91%
DS571304	+	36363	36537	292	+	36360	36957	107	29.26%
DS571304	+	36685	36960	293	+	36360	36957	107	45.42%
DS571699	+	3969	4117	94	+	3966	4452	161	30.60%
DS571446	+	6825	7347	210	+	6822	7343	53	98.67%
DS571182	+	91505	92024	408	+	91492	92022	84	97.19%
DS571496	+	2149	2729	179	+	2146	2731	118	99.15%
DS571840	+	2126	2290	55	+	2117	2705	136	28.01%
DS571840	+	2368	2706	56	+	2117	2705	136	57.29%
DS571284	+	36574	37121	302	+	36571	37118	8	98.91%
DS571262	+	10949	11116	319	+	10947	11526	119	28.97%
DS571262	+	11200	11529	320	+	10947	11526	119	56.09%
DS571262	+	48104	48624	321	+	48094	48620	83	97.36%
DS571487	+	12339	12886	189	+	12336	12883	17	98.91%
DS571679	+	5574	6098	98	+	5571	6095	79	98.86%
DS571616	+	4479	4645	133	+	4470	5065	125	28.02%
DS571616	+	4723	5066	134	+	4470	5065	125	57.45%
