SINE ID	SeqID	Orientation	Start	Stop	Length
1	DS551067.1	-	714	789	76
2	DS551065.1	-	4018	4597	580
3	DS551057.1	+	58927	59507	581
4	DS551044.1	-	820	1416	597
5	DS551044.1	-	6728	7313	586
6	DS551043.1	-	2554	2796	243
7	DS551043.1	+	3794	4247	454
8	DS551041.1	+	12258	12851	594
9	DS551041.1	-	14294	14887	594
10	DS551037.1	-	2118	2415	298
11	DS551034.1	+	325	592	268
12	DS551014.1	+	1	441	441
13	DS551010.1	-	36550	37137	588
14	DS551002.1	+	366	953	588
15	DS550980.1	-	5062	5639	578
16	DS550974.1	+	3343	3947	605
17	DS550974.1	+	15302	15548	247
18	DS550964.1	-	2196	2793	598
19	DS550957.1	+	9	153	145
20	DS550953.1	+	221	803	583
21	DS550951.1	-	1736	1811	76
22	DS550886.1	-	1876	2161	286
23	DS550886.1	+	3560	3840	281
24	DS550886.1	-	8040	8634	595
25	DS550874.1	+	4952	5545	594
26	DS550871.1	-	5122	5716	595
27	DS550869.1	+	1417	1487	71
28	DS550869.1	+	1588	1689	102
29	DS550855.1	+	2352	2936	585
30	DS550855.1	+	24454	25048	595
31	DS550848.1	+	2500	2864	365
32	DS550838.1	-	13763	14343	581
33	DS550838.1	+	16364	16944	581
34	DS550832.1	+	90393	90547	155
35	DS550832.1	+	90533	90962	430
36	DS550827.1	+	10612	11203	592
37	DS550825.1	+	5998	6610	613
38	DS550825.1	-	11193	11767	575
39	DS550825.1	+	13763	14000	238
40	DS550816.1	+	819	1155	337
41	DS550808.1	+	339	944	606
42	DS550807.1	+	1212	1282	71
43	DS550807.1	-	10748	11338	591
44	DS550807.1	+	13025	13616	592
45	DS550801.1	-	25362	25955	594
46	DS550801.1	-	39988	40265	278
47	DS550801.1	-	40222	40639	418
48	DS550801.1	+	46491	47108	618
49	DS550801.1	-	57729	58347	619
50	DS550801.1	-	173218	173812	595
51	DS550798.1	+	1245	1835	591
52	DS550779.1	-	37798	38394	597
53	DS550779.1	-	38506	38579	74
54	DS550779.1	-	100590	101174	585
55	DS550778.1	+	7244	7829	586
56	DS550777.1	-	61	417	357
57	DS550772.1	+	1	497	497
58	DS550771.1	+	1	396	396
59	DS550758.1	-	3710	4212	503
60	DS550756.1	+	1441	1572	132
61	DS550754.1	-	916	1028	113
62	DS550752.1	+	13415	14007	593
63	DS550750.1	-	51598	52192	595
64	DS550750.1	-	54334	54918	585
65	DS550737.1	+	392	970	579
66	DS550719.1	-	2735	3352	618
67	DS550716.1	+	4448	5034	587
68	DS550704.1	-	42184	42519	336
69	DS550677.1	-	1	161	161
70	DS550677.1	-	277	353	77
71	DS550676.1	+	9336	9933	598
72	DS550661.1	+	3428	4001	574
73	DS550630.1	-	11819	12407	589
74	DS550600.1	-	13284	13407	124
75	DS550596.1	-	14526	15117	592
76	DS550595.1	-	27473	27605	133
77	DS550595.1	+	34872	35299	428
78	DS550593.1	+	1805	2289	485
79	DS550564.1	-	622	1214	593
80	DS550546.1	-	1970	2549	580
81	DS550532.1	-	4118	4735	618
82	DS550531.1	+	11313	11932	620
83	DS550530.1	+	1	456	456
84	DS550522.1	+	2814	3404	591
85	DS550522.1	-	50241	50856	616
86	DS550521.1	+	19852	20388	537
87	DS550511.1	+	25953	26567	615
88	DS550481.1	+	81	485	405
89	DS550481.1	+	416	653	238
90	DS550470.1	-	1190	1612	423
91	DS550465.1	+	3686	4033	348
92	DS550455.1	-	48910	49446	537
93	DS550455.1	-	50292	50847	556
94	DS550449.1	+	20975	21208	234
95	DS550448.1	-	2648	3224	577
96	DS550438.1	+	3349	3489	141
97	DS550427.1	-	6889	7479	591
98	DS550423.1	+	26168	26510	343
99	DS550423.1	+	26611	26838	228
100	DS550423.1	-	27571	27928	358
101	DS550422.1	-	9	578	570
102	DS550421.1	+	4763	5360	598
103	DS550411.1	-	4674	5110	437
104	DS550409.1	-	9083	9675	593
105	DS550409.1	-	13494	13715	222
106	DS550403.1	-	1095	1676	582
107	DS550397.1	+	24533	25114	582
108	DS550391.1	-	716	1193	478
109	DS550388.1	-	19112	19697	586
110	DS550388.1	+	27823	27901	79
111	DS550387.1	+	1492	1802	311
112	DS550386.1	+	58822	59414	593
113	DS550369.1	+	568	1148	581
114	DS550353.1	+	442	1071	630
115	DS550332.1	-	11957	12581	625
116	DS550329.1	+	11158	11718	561
117	DS550322.1	+	3637	4224	588
118	DS550320.1	+	2393	2465	73
119	DS550320.1	+	2574	3174	601
120	DS550308.1	-	1	544	544
121	DS550307.1	-	1105	1180	76
122	DS550297.1	+	5320	5942	623
123	DS550289.1	+	1244	1836	593
124	DS550282.1	-	3248	3316	69
125	DS550282.1	-	4555	5076	522
126	DS550282.1	-	9035	9167	133
127	DS550250.1	+	1797	2383	587
128	DS550249.1	+	1279	1681	403
129	DS550249.1	+	1705	1979	275
130	DS550247.1	-	1267	1853	587
131	DS550237.1	+	8393	8975	583
132	DS550226.1	+	954	1541	588
133	DS550224.1	+	1526	2126	601
134	DS550224.1	+	47304	47898	595
135	DS550224.1	+	70105	70167	63
136	DS550217.1	+	24109	24703	595
137	DS550217.1	-	24985	25054	70
138	DS550214.1	+	32428	32500	73
139	DS550214.1	+	34977	35549	573
140	DS550210.1	-	3141	3727	587
141	DS550196.1	-	22330	22908	579
142	DS550192.1	-	56755	57352	598
143	DS550181.1	+	1	546	546
144	DS550176.1	+	536	756	221
145	DS550173.1	+	5507	5670	164
146	DS550172.1	+	1	397	397
147	DS550155.1	+	1	201	201
148	DS550144.1	+	953	1247	295
149	DS550138.1	-	2400	2976	577
150	DS550133.1	-	4333	4697	365
151	DS550132.1	-	23809	24406	598
152	DS550130.1	+	3	506	504
153	DS550128.1	+	3384	3452	69
154	DS550121.1	+	13000	13581	582
155	DS550121.1	+	22586	23009	424
156	DS550115.1	-	1	317	317
157	DS550094.1	+	979	1323	345
158	DS550094.1	+	1306	1542	237
159	DS550093.1	+	309	860	552
160	DS550092.1	+	4	217	214
161	DS550085.1	+	4317	4911	595
162	DS550078.1	-	3164	3830	667
163	DS550073.1	-	2170	2565	396
164	DS550067.1	-	1399	1981	583
165	DS550067.1	+	2871	3470	600
166	DS550067.1	+	3549	4081	533
167	DS550066.1	-	4393	4983	591
168	DS550063.1	+	12026	12606	581
169	DS550052.1	+	23662	24314	653
170	DS550044.1	-	81322	81913	592
171	DS550037.1	-	2574	2913	340
172	DS550015.1	-	630	873	244
173	DS550005.1	-	28185	28781	597
174	DS549989.1	+	3714	4303	590
175	DS549985.1	+	558	895	338
176	DS549983.1	+	8768	8988	221
177	DS549943.1	+	54675	54986	312
178	DS549943.1	+	54977	55225	249
179	DS549930.1	-	20830	20915	86
180	DS549908.1	-	43945	44559	615
181	DS549905.1	-	9885	10479	595
182	DS549888.1	-	9245	9390	146
183	DS549888.1	-	9434	9778	345
184	DS549867.1	+	2262	2756	495
185	DS549867.1	-	2861	2913	53
186	DS549867.1	+	4075	4669	595
187	DS549867.1	+	6180	6774	595
188	DS549866.1	-	12178	12764	587
189	DS549866.1	+	14724	15321	598
190	DS549865.1	+	1	208	208
191	DS549851.1	+	1861	2010	150
192	DS549827.1	+	1042	1112	71
193	DS549819.1	+	10203	10792	590
194	DS549819.1	-	12936	13527	592
195	DS549815.1	+	4545	5090	546
196	DS549802.1	-	67911	68554	644
197	DS549797.1	-	1	497	497
198	DS549781.1	+	4101	4303	203
199	DS549767.1	+	9276	9344	69
200	DS549767.1	+	9332	9713	382
201	DS549765.1	-	9670	10294	625
202	DS549763.1	-	20163	20745	583
203	DS549761.1	+	2071	2146	76
204	DS549759.1	+	5482	6071	590
205	DS549758.1	+	19114	19741	628
206	DS549753.1	+	7193	7786	594
207	DS549752.1	-	3937	4522	586
208	DS549727.1	-	14892	15475	584
209	DS549727.1	+	17505	18095	591
210	DS549721.1	+	1	511	511
211	DS549721.1	+	2320	2898	579
212	DS549694.1	+	7312	7897	586
213	DS549694.1	+	13327	13927	601
214	DS549689.1	-	11313	11895	583
215	DS549667.1	-	1	285	285
216	DS549653.1	-	3258	3466	209
217	DS549645.1	+	1811	2316	506
218	DS549645.1	-	22154	22721	568
219	DS549641.1	+	2388	2963	576
220	DS549632.1	-	2302	2691	390
221	DS549614.1	-	491	1082	592
222	DS549610.1	-	698	1289	592
223	DS549580.1	-	1423	2080	658
224	DS549580.1	-	11637	11998	362
225	DS549573.1	+	856	1066	211
226	DS549561.1	+	8988	9604	617
227	DS549557.1	+	34120	34709	590
228	DS549551.1	-	20760	21348	589
229	DS549550.1	-	26545	27180	636
230	DS549550.1	+	39906	40497	592
