SINE ID	SeqID	Orientation	Start	Stop	Length
1	DS572664.1	-	438	816	379
2	DS572628.1	+	181	263	83
3	DS572593.1	-	147	694	548
4	DS572569.1	-	397	562	166
5	DS572549.1	-	1	259	259
6	DS572515.1	-	305	600	296
7	DS572494.1	+	3	87	85
8	DS572490.1	+	664	838	175
9	DS572490.1	+	890	1120	231
10	DS572441.1	-	1061	1162	102
11	DS572264.1	-	384	926	543
12	DS572254.1	-	1134	1402	269
13	DS572253.1	-	464	804	341
14	DS572253.1	-	882	1044	163
15	DS572252.1	+	5	551	547
16	DS572249.1	-	1	355	355
17	DS572231.1	-	547	887	341
18	DS572231.1	-	965	1126	162
19	DS572210.1	+	758	1282	525
20	DS572209.1	+	374	548	175
21	DS572209.1	+	584	849	266
22	DS572199.1	-	363	793	431
23	DS572199.1	+	1352	1597	246
24	DS572182.1	+	507	885	379
25	DS572179.1	-	232	570	339
26	DS572179.1	-	647	808	162
27	DS572165.1	+	1	165	165
28	DS572139.1	-	339	856	518
29	DS572119.1	+	240	402	163
30	DS572119.1	+	480	818	339
31	DS572093.1	-	1184	1731	548
32	DS572087.1	-	858	1387	530
33	DS572063.1	+	1201	1368	168
34	DS572063.1	+	1432	1781	350
35	DS572032.1	+	385	547	163
36	DS572032.1	+	616	960	345
37	DS571974.1	-	647	908	262
38	DS571968.1	+	1454	1845	392
39	DS571952.1	+	1166	1401	236
40	DS571934.1	-	989	1553	565
41	DS571931.1	-	2270	2610	341
42	DS571925.1	-	3	323	321
43	DS571913.1	-	769	1318	550
44	DS571897.1	+	636	1196	561
45	DS571895.1	-	409	907	499
46	DS571894.1	+	1	79	79
47	DS571893.1	+	173	693	521
48	DS571887.1	+	880	989	110
49	DS571887.1	+	1399	1479	81
50	DS571864.1	-	8	110	103
51	DS571849.1	-	127	651	525
52	DS571846.1	-	1374	1609	236
53	DS571846.1	-	3082	3345	264
54	DS571844.1	-	827	1393	567
55	DS571840.1	+	2126	2290	165
56	DS571840.1	+	2368	2706	339
57	DS571839.1	-	1394	1910	517
58	DS571833.1	-	382	906	525
59	DS571832.1	+	658	1204	547
60	DS571825.1	-	3163	3504	342
61	DS571813.1	+	1181	1730	550
62	DS571811.1	+	1855	2365	511
63	DS571804.1	+	840	1360	521
64	DS571803.1	-	308	546	239
65	DS571803.1	-	584	793	210
66	DS571795.1	-	967	1533	567
67	DS571794.1	+	1155	1682	528
68	DS571791.1	-	125	511	387
69	DS571782.1	-	3845	4127	283
70	DS571781.1	-	220	324	105
71	DS571774.1	+	235	759	525
72	DS571769.1	-	2739	3297	559
73	DS571768.1	+	1162	1707	546
74	DS571764.1	+	296	778	483
75	DS571761.1	-	688	1129	442
76	DS571755.1	+	2078	2241	164
77	DS571755.1	+	2264	2652	389
78	DS571751.1	-	3536	3928	393
79	DS571747.1	+	386	453	68
80	DS571743.1	-	1429	1948	520
81	DS571742.1	-	2062	2569	508
82	DS571732.1	+	2217	2746	530
83	DS571730.1	+	563	823	261
84	DS571714.1	+	3042	3567	526
85	DS571713.1	+	3167	3333	167
86	DS571713.1	+	3411	3755	345
87	DS571712.1	+	1014	1539	526
88	DS571712.1	-	1536	1846	311
89	DS571710.1	+	2039	2368	330
90	DS571709.1	+	2202	2377	176
91	DS571709.1	+	2400	2784	385
92	DS571709.1	-	3151	3670	520
93	DS571704.1	+	85	583	499
94	DS571699.1	+	3969	4117	149
95	DS571690.1	+	463	961	499
96	DS571683.1	+	4580	4745	166
97	DS571683.1	+	4823	5161	339
98	DS571679.1	+	5574	6098	525
99	DS571675.1	-	2590	2965	376
100	DS571675.1	+	4877	5115	239
101	DS571674.1	+	4430	4948	519
102	DS571670.1	+	3674	3759	86
103	DS571669.1	+	3654	3821	168
104	DS571669.1	+	3899	4233	335
105	DS571668.1	+	1002	1559	558
106	DS571668.1	-	4287	4833	547
107	DS571664.1	-	192	703	512
108	DS571663.1	+	4830	4996	167
109	DS571663.1	+	5074	5414	341
